DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2023,330100,20,9999,99,39,
STATSNZ:CEN23_ECI_017(1.0),2023,246600,09,9999,99,39,
STATSNZ:CEN23_ECI_017(1.0),2023,161300,04,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,126200,10,9999,99,60,
STATSNZ:CEN23_ECI_017(1.0),2023,245200,14,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,350801,02,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,169301,01,9999,99,186,
STATSNZ:CEN23_ECI_017(1.0),2023,208301,20,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,213100,15,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,130000,10,9999,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,193900,23,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,345400,07,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,351400,07,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,036,22,9999,99,42,
STATSNZ:CEN23_ECI_017(1.0),2023,210000,05,9999,99,255,
STATSNZ:CEN23_ECI_017(1.0),2023,179501,11,9999,99,48,
STATSNZ:CEN23_ECI_017(1.0),2023,317100,23,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,232900,21,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,400011,24,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,194000,18,9999,99,27,
STATSNZ:CEN23_ECI_017(1.0),2023,256900,16,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,124800,15,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,162300,19,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,230200,22,9999,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,243800,14,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,311600,13,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,100301,16,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,173902,11,9999,99,213,
STATSNZ:CEN23_ECI_017(1.0),2023,172700,16,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,171502,11,9999,99,63,
STATSNZ:CEN23_ECI_017(1.0),2023,315001,15,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,248200,24,9999,99,156,
STATSNZ:CEN23_ECI_017(1.0),2023,210700,05,9999,99,201,
STATSNZ:CEN23_ECI_017(1.0),2023,152900,99,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,237100,24,9999,99,1365,
STATSNZ:CEN23_ECI_017(1.0),2023,334801,25,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,229001,12,9999,99,63,
STATSNZ:CEN23_ECI_017(1.0),2023,146501,22,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,348100,02,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,313500,13,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,149800,12,9999,99,66,
STATSNZ:CEN23_ECI_017(1.0),2023,134600,05,9999,99,156,
STATSNZ:CEN23_ECI_017(1.0),2023,243300,04,9999,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,175201,06,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,113700,13,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,146600,17,9999,99,240,
STATSNZ:CEN23_ECI_017(1.0),2023,200401,18,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,302500,01,9999,99,120,
STATSNZ:CEN23_ECI_017(1.0),2023,247700,19,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,070,04,9999,99,75,
STATSNZ:CEN23_ECI_017(1.0),2023,191801,08,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,351100,22,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,222800,99,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,188002,18,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,194801,13,9999,99,57,
STATSNZ:CEN23_ECI_017(1.0),2023,188300,03,9999,99,165,
STATSNZ:CEN23_ECI_017(1.0),2023,103,04,9999,99,3753,
STATSNZ:CEN23_ECI_017(1.0),2023,237401,09,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,115400,18,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,242700,777,9999,99,996,
STATSNZ:CEN23_ECI_017(1.0),2023,128902,999,9999,99,2256,
STATSNZ:CEN23_ECI_017(1.0),2023,157301,09,9999,99,27,
STATSNZ:CEN23_ECI_017(1.0),2023,102401,20,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,173600,18,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,131500,999,9999,99,3612,
STATSNZ:CEN23_ECI_017(1.0),2023,132700,999,9999,99,2304,
STATSNZ:CEN23_ECI_017(1.0),2023,225100,12,9999,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,222400,12,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,217300,22,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,111200,23,9999,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,205700,25,9999,99,87,
STATSNZ:CEN23_ECI_017(1.0),2023,250901,19,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,132001,05,9999,99,312,
STATSNZ:CEN23_ECI_017(1.0),2023,329001,10,9999,99,30,
STATSNZ:CEN23_ECI_017(1.0),2023,124600,12,9999,99,102,
STATSNZ:CEN23_ECI_017(1.0),2023,075,99,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,205401,05,9999,99,216,
STATSNZ:CEN23_ECI_017(1.0),2023,135600,25,9999,99,216,
STATSNZ:CEN23_ECI_017(1.0),2023,241100,19,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,192900,08,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,306200,21,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,245000,24,9999,99,1410,
STATSNZ:CEN23_ECI_017(1.0),2023,175301,01,9999,99,171,
STATSNZ:CEN23_ECI_017(1.0),2023,156500,14,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,256400,11,9999,99,102,
STATSNZ:CEN23_ECI_017(1.0),2023,149001,22,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,159201,19,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,337800,15,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,128000,15,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,223501,22,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,310500,03,9999,99,66,
STATSNZ:CEN23_ECI_017(1.0),2023,328500,999,9999,99,2778,
STATSNZ:CEN23_ECI_017(1.0),2023,178000,777,9999,99,3789,
STATSNZ:CEN23_ECI_017(1.0),2023,300401,11,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,209201,10,9999,99,120,
STATSNZ:CEN23_ECI_017(1.0),2023,173901,16,9999,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,315800,23,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,232200,99,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,321301,13,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,201600,10,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,259700,19,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,147400,02,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,307000,15,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,300301,16,9999,99,27,
STATSNZ:CEN23_ECI_017(1.0),2023,315400,08,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,221900,07,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,101500,777,9999,99,777,
STATSNZ:CEN23_ECI_017(1.0),2023,017,16,9999,99,294,
STATSNZ:CEN23_ECI_017(1.0),2023,205100,20,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,236000,14,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,131200,15,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,208401,15,9999,99,9,
