eurostat: demo_r_pjangrp3 (nuts3)
  DE231: no ISO3 for Eurostat country code 'DE'; skipped
  DE232: no ISO3 for Eurostat country code 'DE'; skipped
  DE233: no ISO3 for Eurostat country code 'DE'; skipped
  DE234: no ISO3 for Eurostat country code 'DE'; skipped
  DE235: no ISO3 for Eurostat country code 'DE'; skipped
  DE236: no ISO3 for Eurostat country code 'DE'; skipped
  DE237: no ISO3 for Eurostat country code 'DE'; skipped
  DE238: no ISO3 for Eurostat country code 'DE'; skipped
  DE239: no ISO3 for Eurostat country code 'DE'; skipped
  DE23A: no ISO3 for Eurostat country code 'DE'; skipped
  DE241: no ISO3 for Eurostat country code 'DE'; skipped
  DE242: no ISO3 for Eurostat country code 'DE'; skipped
  DE243: no ISO3 for Eurostat country code 'DE'; skipped
  DE244: no ISO3 for Eurostat country code 'DE'; skipped
  DE245: no ISO3 for Eurostat country code 'DE'; skipped
  DE246: no ISO3 for Eurostat country code 'DE'; skipped
  DE247: no ISO3 for Eurostat country code 'DE'; skipped
  DE248: no ISO3 for Eurostat country code 'DE'; skipped
  DE249: no ISO3 for Eurostat country code 'DE'; skipped
  DE24A: no ISO3 for Eurostat country code 'DE'; skipped
  DE24B: no ISO3 for Eurostat country code 'DE'; skipped
  DE24C: no ISO3 for Eurostat country code 'DE'; skipped
  DE24D: no ISO3 for Eurostat country code 'DE'; skipped
  DE251: no ISO3 for Eurostat country code 'DE'; skipped
  DE252: no ISO3 for Eurostat country code 'DE'; skipped
  DE253: no ISO3 for Eurostat country code 'DE'; skipped
  DE254: no ISO3 for Eurostat country code 'DE'; skipped
  DE255: no ISO3 for Eurostat country code 'DE'; skipped
  DE256: no ISO3 for Eurostat country code 'DE'; skipped
  DE257: no ISO3 for Eurostat country code 'DE'; skipped
  DE258: no ISO3 for Eurostat country code 'DE'; skipped
  DE259: no ISO3 for Eurostat country code 'DE'; skipped
  DE25A: no ISO3 for Eurostat country code 'DE'; skipped
  DE25B: no ISO3 for Eurostat country code 'DE'; skipped
  DE25C: no ISO3 for Eurostat country code 'DE'; skipped
  DE261: no ISO3 for Eurostat country code 'DE'; skipped
  DE262: no ISO3 for Eurostat country code 'DE'; skipped
  DE263: no ISO3 for Eurostat country code 'DE'; skipped
  DE264: no ISO3 for Eurostat country code 'DE'; skipped
  DE265: no ISO3 for Eurostat country code 'DE'; skipped
  DE266: no ISO3 for Eurostat country code 'DE'; skipped
  DE267: no ISO3 for Eurostat country code 'DE'; skipped
  DE268: no ISO3 for Eurostat country code 'DE'; skipped
  DE269: no ISO3 for Eurostat country code 'DE'; skipped
  DE26A: no ISO3 for Eurostat country code 'DE'; skipped
  DE26B: no ISO3 for Eurostat country code 'DE'; skipped
  DE26C: no ISO3 for Eurostat country code 'DE'; skipped
  DE271: no ISO3 for Eurostat country code 'DE'; skipped
  DE272: no ISO3 for Eurostat country code 'DE'; skipped
  DE273: no ISO3 for Eurostat country code 'DE'; skipped
  DE274: no ISO3 for Eurostat country code 'DE'; skipped
  DE275: no ISO3 for Eurostat country code 'DE'; skipped
  DE276: no ISO3 for Eurostat country code 'DE'; skipped
  DE277: no ISO3 for Eurostat country code 'DE'; skipped
  DE278: no ISO3 for Eurostat country code 'DE'; skipped
  DE279: no ISO3 for Eurostat country code 'DE'; skipped
  DE27A: no ISO3 for Eurostat country code 'DE'; skipped
  DE27B: no ISO3 for Eurostat country code 'DE'; skipped
  DE27C: no ISO3 for Eurostat country code 'DE'; skipped
  DE27D: no ISO3 for Eurostat country code 'DE'; skipped
  DE27E: no ISO3 for Eurostat country code 'DE'; skipped
  DE300: no ISO3 for Eurostat country code 'DE'; skipped
