DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2023,158101,999,431,99,1194,
STATSNZ:CEN23_ECI_017(1.0),2023,320400,999,531,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,258600,999,100,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,999,999,5,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,193700,999,444,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,358300,999,111,99,1791,
STATSNZ:CEN23_ECI_017(1.0),2023,172100,999,442,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,214100,999,443,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,112701,999,6,99,48,
STATSNZ:CEN23_ECI_017(1.0),2023,229900,999,511,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,250100,999,111,99,1593,
STATSNZ:CEN23_ECI_017(1.0),2023,330400,999,413,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,186900,999,128,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,109301,999,413,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,152000,999,351,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,216800,999,125,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,132100,999,6,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,243300,999,361,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,028,999,124,99,21,
STATSNZ:CEN23_ECI_017(1.0),2023,152900,999,421,99,531,
STATSNZ:CEN23_ECI_017(1.0),2023,131300,999,7777,99,1242,
STATSNZ:CEN23_ECI_017(1.0),2023,400001,999,100,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,142202,999,414,99,21,
STATSNZ:CEN23_ECI_017(1.0),2023,359900,999,5,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,130902,999,123,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,224000,999,124,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,158501,999,9,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,236800,999,5,99,33,
STATSNZ:CEN23_ECI_017(1.0),2023,179901,999,412,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,108200,999,443,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,174100,999,411,99,39,
STATSNZ:CEN23_ECI_017(1.0),2023,176500,999,441,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,362601,999,410,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,342800,999,4,99,42,
STATSNZ:CEN23_ECI_017(1.0),2023,253700,999,442,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,210900,999,4,99,309,
STATSNZ:CEN23_ECI_017(1.0),2023,177100,999,128,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,325700,999,413,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,138600,999,414,99,21,
STATSNZ:CEN23_ECI_017(1.0),2023,179100,999,411,99,60,
STATSNZ:CEN23_ECI_017(1.0),2023,124200,999,7777,99,2994,
STATSNZ:CEN23_ECI_017(1.0),2023,104400,999,412,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,238700,999,441,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,115601,999,6,99,27,
STATSNZ:CEN23_ECI_017(1.0),2023,160901,999,3,99,1206,
STATSNZ:CEN23_ECI_017(1.0),2023,188701,999,321,99,30,
STATSNZ:CEN23_ECI_017(1.0),2023,158002,999,410,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,160700,999,100,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,352800,999,3,99,66,
STATSNZ:CEN23_ECI_017(1.0),2023,159500,999,125,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,349900,999,410,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,124200,999,122,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,119000,999,531,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,128901,999,421,99,264,
STATSNZ:CEN23_ECI_017(1.0),2023,999999,999,126,99,6444,
STATSNZ:CEN23_ECI_017(1.0),2023,304600,999,300,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,251900,999,431,99,66,
STATSNZ:CEN23_ECI_017(1.0),2023,07608,999,521,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,361900,999,341,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,330200,999,331,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,300,999,410,99,237,
STATSNZ:CEN23_ECI_017(1.0),2023,109003,999,361,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,183200,999,121,99,27,
STATSNZ:CEN23_ECI_017(1.0),2023,175201,999,371,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,153301,999,3,99,1242,
STATSNZ:CEN23_ECI_017(1.0),2023,125701,999,443,99,57,
STATSNZ:CEN23_ECI_017(1.0),2023,196900,999,444,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,215500,999,9,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,232101,999,126,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,158900,999,410,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,07615,999,361,99,861,
STATSNZ:CEN23_ECI_017(1.0),2023,179600,999,128,99,21,
STATSNZ:CEN23_ECI_017(1.0),2023,316100,999,6,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,182400,999,443,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,304500,999,411,99,39,
STATSNZ:CEN23_ECI_017(1.0),2023,400015,999,361,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,361300,999,125,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,073,999,511,99,30,
STATSNZ:CEN23_ECI_017(1.0),2023,216200,999,129,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,199700,999,443,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,348801,999,1,99,2040,
STATSNZ:CEN23_ECI_017(1.0),2023,153600,999,2,99,366,
STATSNZ:CEN23_ECI_017(1.0),2023,362401,999,411,99,57,
STATSNZ:CEN23_ECI_017(1.0),2023,136001,999,421,99,360,
STATSNZ:CEN23_ECI_017(1.0),2023,317701,999,122,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,254500,999,351,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,121600,999,531,99,36,
STATSNZ:CEN23_ECI_017(1.0),2023,103,999,100,99,1581,
STATSNZ:CEN23_ECI_017(1.0),2023,142801,999,9,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,154201,999,411,99,81,
STATSNZ:CEN23_ECI_017(1.0),2023,350100,999,1,99,861,
STATSNZ:CEN23_ECI_017(1.0),2023,231300,999,351,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,302400,999,122,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,328400,999,413,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,332601,999,9999,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,361900,999,5,99,21,
STATSNZ:CEN23_ECI_017(1.0),2023,250200,999,126,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,332501,999,421,99,33,
STATSNZ:CEN23_ECI_017(1.0),2023,242100,999,125,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,208001,999,443,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,240100,999,421,99,450,
STATSNZ:CEN23_ECI_017(1.0),2023,187000,999,443,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,212100,999,5,99,18,
STATSNZ:CEN23_ECI_017(1.0),2023,234500,999,351,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,132001,999,2,99,369,
STATSNZ:CEN23_ECI_017(1.0),2023,242200,999,431,99,498,
STATSNZ:CEN23_ECI_017(1.0),2023,140601,999,414,99,30,
STATSNZ:CEN23_ECI_017(1.0),2023,132900,999,414,99,48,
STATSNZ:CEN23_ECI_017(1.0),2023,122300,999,122,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,164700,999,412,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,259900,999,300,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,187702,999,412,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,133301,999,2,99,162,
STATSNZ:CEN23_ECI_017(1.0),2023,167300,999,511,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,127001,999,443,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,322200,999,311,99,42,
STATSNZ:CEN23_ECI_017(1.0),2023,318700,999,6,99,36,
STATSNZ:CEN23_ECI_017(1.0),2023,102801,999,441,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,322900,999,331,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,160201,999,410,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,103,999,521,99,2178,
STATSNZ:CEN23_ECI_017(1.0),2023,190602,999,129,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,132002,999,341,99,45,
STATSNZ:CEN23_ECI_017(1.0),2023,241900,999,300,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,201800,999,9999,99,1854,
STATSNZ:CEN23_ECI_017(1.0),2023,117400,999,6,99,30,
STATSNZ:CEN23_ECI_017(1.0),2023,246800,999,9,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,324501,999,413,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,242900,999,431,99,51,
STATSNZ:CEN23_ECI_017(1.0),2023,207800,999,444,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,175801,999,122,99,42,
STATSNZ:CEN23_ECI_017(1.0),2023,244100,999,127,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,206900,999,4,99,69,
STATSNZ:CEN23_ECI_017(1.0),2023,171601,999,111,99,2697,
STATSNZ:CEN23_ECI_017(1.0),2023,340801,999,341,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,336301,999,414,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,314703,999,321,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,057,999,127,99,36,
STATSNZ:CEN23_ECI_017(1.0),2023,141201,999,1,99,852,
STATSNZ:CEN23_ECI_017(1.0),2023,102700,999,128,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,234700,999,441,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,168600,999,411,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,353600,999,1,99,1764,
STATSNZ:CEN23_ECI_017(1.0),2023,354300,999,351,99,,c
