adm3_name	adm3_name1	adm3_name2	adm3_name3	adm3_pcode	adm2_name	adm2_name1	adm2_name2	adm2_name3	adm2_pcode	adm1_name	adm1_name1	adm1_name2	adm1_name3	adm1_pcode	adm0_name	adm0_name1	adm0_name2	adm0_name3	adm0_pcode	valid_on	valid_to	area_sqkm	version	lang	lang1	lang2	lang3	adm3_ref_name	center_lat	center_lon
Al-Hafriya	الحفرية			IQG18Q04N04	Al-Suwaira	الصويرة			IQG18Q04	Wassit	واسط			IQG18	Iraq	العراق			IQ	2019-06-03 00:00:00		307.49099313	v01	en	ar			Al-Hafriya	33.06015987	44.81778377
Al-Hammar	الحمار			IQG17Q01N02	Al-Chibayish	الجبايش			IQG17Q01	Thi Qar	ذي قار			IQG17	Iraq	العراق			IQ	2019-06-03 00:00:00		792.1424521	v01	en	ar			Al-Hammar	30.89421308	46.8422699
Al-Haqlaniya	الحقلانية			IQG01Q06N01	Haditha	حديثة			IQG01Q06	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		1546.83418816	v01	en	ar			Al-Haqlaniya	34.069414	42.16881759
Al-Hartha	الهارثة			IQG02Q02N01	Al-Basrah	البصرة			IQG02Q02	Al-Basrah	البصرة			IQG02	Iraq	العراق			IQ	2019-06-03 00:00:00		942.97696405	v01	en	ar			Al-Hartha	30.61596978	47.56599349
Al-Hassainya	الحسينية			IQG12Q03N02	Kerbela	كربلاء			IQG12Q03	Kerbala	كربلاء			IQG12	Iraq	العراق			IQ	2019-06-03 00:00:00		473.17264574	v01	en	ar			Al-Hassainya	32.71392023	44.16970023
Al-Haydariya	الحيدرية			IQG04Q03N01	Al-Najaf	النجف			IQG04Q03	Al-Najaf	النجف			IQG04	Iraq	العراق			IQ	2019-06-03 00:00:00		1248.66133857	v01	en	ar			Al-Haydariya	32.19103408	44.06825818
Al-Heera	الحيرة			IQG04Q02N01	Al-Manathera	المناذرة			IQG04Q02	Al-Najaf	النجف			IQG04	Iraq	العراق			IQ	2019-06-03 00:00:00		605.90808781	v01	en	ar			Al-Heera	31.77384861	44.47212041
Al-Hilal	الهلال			IQG03Q02N01	Al-Rumaitha	الرميثة			IQG03Q02	Al-Muthanna	المثنى			IQG03	Iraq	العراق			IQ	2019-06-03 00:00:00		322.14102498	v01	en	ar			Al-Hilal	31.38600628	45.08859055
Al-Howweir	الهوير			IQG02Q04N01	Al-Midaina	المدينة			IQG02Q04	Al-Basrah	البصرة			IQG02	Iraq	العراق			IQ	2019-06-03 00:00:00		298.32258983	v01	en	ar			Al-Howweir	31.14717189	47.23633339
Al-Huriya	الحرية			IQG04Q01N01	Al-Kufa	الكوفة			IQG04Q01	Al-Najaf	النجف			IQG04	Iraq	العراق			IQ	2019-06-03 00:00:00		388.61233561	v01	en	ar			Al-Huriya	32.07646861	44.47799514
Al-Iskandaria	الاسكندرية			IQG07Q04N02	Al-Mussyab	المسيب			IQG07Q04	Babil	بابل			IQG07	Iraq	العراق			IQ	2019-06-03 00:00:00		388.17478087	v01	en	ar			Al-Iskandaria	32.85506259	44.36359383
Al-Islah	الاصلاح			IQG17Q04N04	Al-Nasiriya	الناصرية			IQG17Q04	Thi Qar	ذي قار			IQG17	Iraq	العراق			IQ	2019-06-03 00:00:00		1013.82396141	v01	en	ar			Al-Islah	31.23082445	46.63195352
Al-Jadwal Al-Ghrabi	الجدول الغربي			IQG12Q02N01	Al-Hindiya	الهندية			IQG12Q02	Kerbala	كربلاء			IQG12	Iraq	العراق			IQ	2019-06-03 00:00:00		111.68404606	v01	en	ar			Al-Jadwal Al-Ghrabi	32.50922233	44.26571726
Al-Jisr	الجسر			IQG08Q04N02	Al-Mada'in	المدائن			IQG08Q04	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		159.73747153	v01	en	ar			Al-Jisr	33.29218953	44.56151452
Al-Karabla	الكرابلة			IQG01Q02N01	Al-Kaim	القائم			IQG01Q02	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		4665.22569272	v01	en	ar			Al-Karabla	34.06973556	40.73211639
Al-Karrada Al-Sharqia	الكرادة الشرقية			IQG08Q06N01	Al-Risafa	الرصافة			IQG08Q06	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		81.55978606	v01	en	ar			Al-Karrada Al-Sharqia	33.28597963	44.39970036
Al-Kifil	الكفل			IQG07Q02N01	Al-Hilla	الحلة			IQG07Q02	Babil	بابل			IQG07	Iraq	العراق			IQ	2019-06-03 00:00:00		486.80599628	v01	en	ar			Al-Kifil	32.27872073	44.44990568
Al-Latifya	اللطيفية			IQG08Q05N03	Al-Mahmoudiya	المحمودية			IQG08Q05	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		497.56934325	v01	en	ar			Al-Latifya	32.93212734	44.44896054
Al-Madhatiya	المدحتية			IQG07Q01N03	Al-Hashimiya	الهاشمية			IQG07Q01	Babil	بابل			IQG07	Iraq	العراق			IQ	2019-06-03 00:00:00		863.3252466	v01	en	ar			Al-Madhatiya	32.50143435	44.8121759
Al-Majd	المجد			IQG03Q02N02	Al-Rumaitha	الرميثة			IQG03Q02	Al-Muthanna	المثنى			IQG03	Iraq	العراق			IQ	2019-06-03 00:00:00		91.28926987	v01	en	ar			Al-Majd	31.33451809	45.18777626
Al-Mamoon	المأمون			IQG08Q03N01	Al-Karkh	الكرخ			IQG08Q03	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		128.52699866	v01	en	ar			Al-Mamoon	33.1376294	44.53938836
Al-Mansour	المنصور			IQG08Q03N03	Al-Karkh	الكرخ			IQG08Q03	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		117.39946199	v01	en	ar			Al-Mansour	33.293959	44.30381826
